"","region","5HT1a","5HT1b","5HT2a","5HT4","5HT6","5HTT","A4B2","CB1","D1","D2","DAT","GABAa-bz","H3","M1","mGluR5","MOR","NET","NMDA","VAChT"
"170",170,1.33195377038661,-0.519749916035459,0.280875420738624,0.442368101495455,-0.63430014284321,0.151932943987864,-1.21016036281169,-1.39216521164467,0.49258536223495,-0.075595979301603,-0.172902097429258,-1.61339400606251,-0.715695797357355,0.377980608861831,-1.36803708210985,0.328790811123517,-0.457853707337235,-2.09228133868678,-0.659218901920574
"171",171,1.65895370976704,-0.0253509623329994,1.2868738346323,0.307730348296928,0.984150641562193,-0.143495248457848,-0.291134216630825,0.561880156779075,0.306224065266194,0.180309084908382,0.0905827661503346,-0.399905602938365,-0.26160688028292,0.937501137195505,0.901349189712736,0.556063229992999,0.425402148133063,0.765109529801792,-0.135439376501227
"172",172,1.64685483679497,-0.35554037481448,1.02181982970125,0.206100900652182,0.86344833664217,-0.0725193469474856,-0.0915356791417639,0.188147748635459,0.682233351792676,0.14801960378595,0.199724776415437,-0.768085390950093,-0.306657026909245,0.908420311192765,0.732382488997504,0.531451794273454,0.370126416608152,0.535504645592328,-0.152044104537319
"173",173,0.787268968935225,0.53045387503535,0.837785706246001,-0.0607793940683321,1.38164968103222,-0.452461862369122,0.148156346803083,0.911490011516023,0.104185667938723,0.176737494002382,0.167058326594939,-0.553734661591902,-0.180438639814539,0.887713970961956,1.11461000661569,0.251341057588256,0.384838842743347,1.38847817158341,0.00354321194021149
"174",174,0.739278605977091,-0.0275807032760506,0.720949849881039,-0.143142273791758,0.622022173710722,-0.41053368778652,0.330389911046008,0.560655322774704,0.542931564526732,0.088550252525914,0.351276609868602,-0.763570280684415,-0.51672936311795,0.50116292938061,1.15304540845349,0.267258070628278,0.525669405698456,1.30698887827678,-0.0488999036002353
"175",175,0.686097488175938,0.579321508760782,0.993765536966912,0.318953285071311,0.489203405903415,-0.252313113033934,-0.156933295126077,1.00800801213593,-0.328462268832335,-0.067985111680041,-0.209258127043657,-0.00449481696222562,-0.437847326358963,0.414447264202412,0.731527638118211,0.0609913548737049,-0.189484696104871,0.124680215668079,-0.254897202041477
"176",176,0.675741386449544,0.319916850079254,0.826976164644035,-0.0831468214614796,0.699132826280623,-0.412671903592807,0.0946397178207851,0.969811881858194,0.273619804524719,-0.000398431025062109,0.103136755808217,-0.275679828472114,-0.325670065512468,0.765818431800153,1.2679708420901,0.192182416703746,0.135371320381131,0.668714096981352,-0.117148783284598
"177",177,0.547971121585482,0.404802091626485,0.730889959015915,0.0538835370790896,0.696215490111769,-0.444743462022187,0.0230284663790898,1.19479276636967,-0.147010289650194,-0.052455731312052,-0.181272014295396,0.167697405836998,-0.41297062394427,0.359964203134869,0.978269248074914,0.193649333079283,0.0864320857268688,0.324853138000568,-0.228490725681673
"178",178,0.538511696779941,0.36267702376235,0.818973558240083,0.0554795223100189,0.396028627844522,-0.44517288328019,-0.217787389965825,0.743041820122282,0.117549981567388,-0.0889473198855064,0.00876751460745421,0.287237049976566,-0.292498714160335,0.56347629345464,1.02680726472037,0.229733740617064,0.318653133840649,0.142760600635253,-0.277916614369645
"179",179,1.29247767002193,-0.0140237396402711,1.26760608658895,0.390852196009929,0.0881454221388047,-0.332382779817622,-0.715193083759189,-0.207343252372407,0.0803425301736988,-0.110173746275381,-0.135153573482384,0.921953009609058,-0.890416985718732,-0.0308506852060742,-0.215567803402156,0.196056081735857,0.0754336456719094,-0.0489302823653934,-0.499171898777616
