region,sentMword_list,sentMword_prod,sentMword_read,LBJ
38,-0.238067625,-0.178429614,-0.377870711,3.0155693873
39,-0.221758982,0.4576706809,-0.425953964,1.3947908092
40,-0.216274871,-0.090054095,-0.432103058,2.6770411238
41,0.3306742907,0.7005635737,0.3500014907,0.8997799924
42,0.2710829642,0.4704237354,0.2494845,2.0369194158
45,-0.049424539,0.1438290648,-0.178184873,-0.028225417
46,-0.052953529,0.1185398486,-0.165550048,1.7290201946
47,0.1970915081,0.3472515515,0.1436581577,-1.28553657
48,0.1590445484,0.2607393944,0.1145824169,0.0371460779
51,0.0029957581,0.4109096206,0.0460423185,5.0224511649
52,-0.210320765,0.1185940728,-0.368777553,7.8993518699
53,0.0100532784,0.1750459966,-0.070655634,3.9077865263
54,-0.010748548,0.0753043652,-0.11484294,3.5017859642
55,0.0229072706,0.0994576953,0.0315625536,3.3091117069
56,-0.0079037,-0.01048686,-0.019523159,2.3831853452
57,0.3053713817,0.8628819454,0.5634877965,2.6700382522
58,-0.058951923,0.1504102901,0.0353059306,4.7527782084
59,-0.165569758,-0.310828874,-0.043450713,5.3615132526
60,-0.018289556,-0.013835461,-0.083664491,5.8675868467
61,0.0429440292,0.0729461183,0.0123962028,6.4669649604
62,0.0884034124,0.1648189409,0.0731629726,4.4347083438
63,-0.06098592,-0.382779731,0.0016569976,2.7480605181
64,0.1064237761,-0.167822598,0.1245296085,1.9779126576
65,0.0115646943,-0.2587082,0.1245408404,4.9145929191
66,0.025876095,-0.269490476,0.1177603861,1.5004885076
67,0.0940724606,-0.068069466,0.1072719266,7.2698383156
68,0.1146587791,-0.052988559,0.1380944466,1.0204000793
69,0.0407418055,-0.07468769,0.0610608025,2.7547607702
70,0.0435074795,-0.097509794,0.0593317633,0.67304929
71,-0.04521485,-0.315420065,-0.059527311,6.0465727585
72,0.0402597343,-0.198805977,-0.032734227,4.7754932877
73,0.0715906856,0.0103655496,-0.019045619,7.7255445208
74,0.0009303144,-0.098033045,-0.080906173,4.6288353775
75,-0.00302746,0.042622492,-0.191520403,7.1971540937
76,-0.051689944,-0.109094444,-0.226900691,6.2821888631
77,0.0025527128,-0.021322078,-0.06357427,2.5221350083
78,0.0548163969,0.0568344194,0.0039793919,1.5151521452
79,0.0582576392,0.034277777,0.0415276566,2.0949048241
80,0.0209985118,-0.034782318,0.0389466997,0.8975817686
81,0.1348919792,0.2182271682,-0.097555755,5.5607241146
82,0.1503105611,0.1636483039,-0.031910265,2.9269395828
83,0.2021149354,0.3909473818,-0.031831308,5.2690530901
84,0.1628777142,0.2059449476,-0.071256344,4.9474962835
85,0.1796964488,0.4438487338,-0.17611914,2.8886973675
86,0.1063708001,0.2494833132,-0.130393681,2.246171054
87,-0.144111554,-0.396946255,0.0050247665,4.4114251897
88,-0.172127355,-0.471502251,-0.06406578,3.122821198
89,-0.116556314,-0.306221742,-0.047959495,3.5412007632
90,-0.135131841,-0.419667248,-0.060610187,3.1518303267
91,-0.0964415,-0.23964862,-0.232355932,4.8968137587
92,-0.078693946,-0.280691284,-0.174140742,4.2791708458
93,-0.097679417,-0.160588891,-0.181863189,2.0515625297
94,-0.132009848,-0.357802112,-0.194480436,2.5442542471
95,0.0542964145,0.1465635125,0.1946150132,2.0374110172
96,-0.061420083,-0.191377203,0.0698458146,2.42414121
97,-0.230985978,-0.017999291,-0.536797701,2.2957814784
98,-0.325893011,-0.40037996,-0.61436241,3.714478526
99,0.4341129969,0.4269163332,0.6387504066,0.448123068
100,-0.128232944,-0.366298124,-0.101230046,0.9993266136
101,-0.163080619,-0.030522676,-0.403184648,-1.201480142
102,-0.256472632,-0.298549599,-0.462147655,0.0164290456
103,0.2586482537,0.4307077524,0.275827347,-2.335531961
104,0.0173227797,0.052895713,0.087840678,-0.914040087
105,0.693974188,0.7026655573,0.8936062189,-1.886087659
106,0.5171056262,0.5128073167,0.7633934897,-1.278587365
107,-0.294664973,0.2371200429,-0.691262443,1.5445982278
108,-0.387617055,-0.07944022,-0.738387125,3.1634720461
109,-0.126005792,0.2974381544,-0.531745273,7.190725401
110,-0.100149048,0.0155807844,-0.471515739,7.4221757946
111,-0.143219076,0.5392741543,-0.448970938,3.1836250185
112,-0.231020426,0.1799693724,-0.664702867,6.2923499609
113,0.1314595282,0.5722712093,-0.222899318,5.2717952972
114,0.0744760016,0.3948747163,-0.385413689,6.5469662447
115,0.2765288959,0.5079146995,0.04069608,4.4913750112
116,0.2215398438,0.336803271,-0.122348482,6.8925765645
117,-0.021988608,0.1426160178,0.038437275,1.4255472563
118,0.1151351456,0.373306213,0.14989205,1.4061009095
119,-0.042705869,0.0202257182,0.070858618,2.9806204482
120,0.0497355506,0.0576180636,0.1617056403,3.3188477543
121,0.0601747421,0.0498807621,0.1619979999,3.6229193527
122,0.1654829168,0.1462501855,0.256371884,5.185278045
123,0.249884639,0.3608380243,0.2810228805,4.2422222516
124,0.4641794355,0.6403470014,0.4032409003,4.1454573357
125,0.1957419115,0.1594787785,0.2001439214,4.4909692318
126,0.2716463022,0.2006498832,0.253081585,5.9599530617
127,0.285035771,0.3168812804,0.3266343125,5.6395536061
128,0.3419888121,0.314619207,0.2944960799,6.8550222244
129,0.0016988272,-0.033335977,0.042636498,2.7292262155
130,0.0702942034,-0.071262725,0.0878197985,2.77403186
131,-0.095232155,-0.157204624,0.0515275631,2.5879619341
132,-0.038459003,-0.14212574,0.1582580855,3.1124250624
133,0.4215476809,0.4662317628,0.2828841163,3.5844089328
134,0.4008255722,0.4131421314,0.244366445,4.7522947345
135,0.3823993637,0.3142639138,0.3226337252,4.0460301031
136,0.4042228915,0.3593828746,0.3617120545,4.7547439805
137,0.7618907687,0.7283447934,0.8007479621,1.5988195164
138,0.6840208906,0.6879682226,0.806824787,2.6905061552
139,0.4121524503,0.4490870733,0.3689672857,0.213339139
140,0.3254771184,0.3888179155,0.2506480861,1.8538633789
141,0.5906848885,0.6843844739,0.377085023,5.5583666974
142,0.4096143189,0.5938842737,0.1716344948,5.1737728784
143,0.5879107566,0.6471286078,0.488053824,5.4316886064
144,0.6317808371,0.7407388083,0.5399091367,6.0701694182
145,0.2999446303,0.2848263543,0.3536279442,1.9426930605
146,0.1912576152,0.1212491236,0.2025776813,2.2726382026
147,0.2274033592,0.760722387,0.1468072592,4.2077305575
148,0.1263776044,0.4307176378,0.012391287,5.6107965551
149,0.0857731594,0.7882139347,0.1220798851,4.9584669787
150,-0.005131628,0.3580765363,-0.021446262,6.4144393751
151,0.0236890166,0.6089116829,0.0513655273,4.4893886662
152,-0.092570154,0.1409711317,-0.143536846,5.039506119
153,-0.065673706,-0.069310311,-0.069430352,3.2302563942
154,-0.09398266,-0.045596798,-0.089256517,3.2000320911
155,0.0468172407,-0.225863684,0.0248573604,3.4009351484
156,0.0403403191,-0.160614534,0.073478035,1.0404430453
157,-0.155050266,-0.265862875,-0.113056305,3.4804208881
158,-0.108289154,-0.259660414,-0.144227325,3.1282960986
159,-0.049282433,-0.430323403,-0.052648799,2.7752388331
160,0.0328771977,-0.287329407,0.018993475,1.585885685
161,-0.168244864,-0.693814458,-0.273132007,4.2359860425
162,-0.104727506,-0.443531638,-0.116437483,1.7058822798
163,-0.130734814,-0.376780022,-0.212591851,2.1816154206
164,-0.140707025,-0.189105712,-0.117678287,0.8755497885
165,-0.064343566,-0.387121211,-0.156106892,2.9453728912
166,-0.030687975,-0.202525746,-0.059371597,1.380503552
167,0.311202301,0.1130937613,0.3821685681,1.2863421108
168,0.1105080459,-0.006936543,0.1455725975,0.7624451479
169,0.7996288214,0.663986583,0.9625421396,1.1806861163
170,0.5758661651,0.3703033318,0.8620558087,0.8354175646
171,1.0134141201,0.5634436305,1.2848140346,-0.130436852
172,0.6191934136,0.3661195307,0.9043924572,0.3034260591
173,0.7441871535,0.7704931853,1.0016228191,0.5711306409
174,0.1602004987,0.1488135567,0.3717996451,2.4199638111
175,0.6724807988,0.6748742885,0.9964155642,1.7596068487
176,0.2873971812,0.2181395397,0.6204945898,3.0213284578
177,0.6240812302,0.5378969174,0.8445744982,-1.278592632
178,0.4811236194,0.3434015554,0.8596602744,-0.239836711
179,0.4950295645,0.1518944193,0.6257181762,-0.520593595
180,0.3846287131,0.2522847201,0.5901076957,-0.913113008
181,-0.023315834,-0.073139094,-0.092830719,0.2306491497
182,0.0010080937,0.0322214855,-0.022788646,0.1206451353
183,0.3720408701,0.2787578523,0.4365382438,0.3281960929
184,0.0723752398,-0.004957306,0.1671828302,1.1960587396
185,0.6641798528,0.6671836769,0.840274489,1.754965674
186,0.4053638715,0.4119596151,0.5310885452,2.877985636
191,0.0036930344,0.2703539869,-0.095989119,0.8601886633
192,-0.037910484,0.1745797314,-0.164401021,1.5822466995
193,0.3943618186,0.6044678611,0.2336761878,2.7871963733
194,0.1826351989,0.4404022242,-0.094407616,3.5587493848
195,0.512456912,0.4597659121,0.4994298801,3.3471743105
196,0.4507629857,0.4223800081,0.5020344765,4.0241179544
197,0.2833540801,0.2920839521,0.4003087988,2.5865006129
198,0.345456781,0.3565459963,0.422871437,3.2845088919
199,0.2644424189,0.3186116514,0.3267057322,3.3621858693
200,0.1846032247,0.3582563992,0.2414288131,3.6964356213
201,0.3385045031,0.2075220923,0.4502976354,0.0518767665
202,0.3008765195,0.1529348121,0.4561363524,0.204790532
203,0.1138214146,0.1086781172,0.1886767257,0.3911487255
204,0.1199278428,0.0144669414,0.2413707298,0.6856368663
205,0.1550097746,0.2196205858,0.222151939,0.4975882053
206,0.1207363477,0.0723232821,0.182762154,1.1106942023
207,0.2040938777,0.1801601996,0.1288546897,0.0132894802
208,0.2399697503,0.2094063332,0.2707963344,-0.110638777
209,0.3112046684,0.325595717,0.4297738999,-0.273961392
210,0.3147986036,0.3149066393,0.5009604937,-0.687070216
211,-0.019458135,0.4234158227,-0.101123431,1.7956121471
