"","region","5HT1a","5HT1b","5HT2a","5HT4","5HT6","5HTT","A4B2","CB1","D1","D2","DAT","GABAa.bz","H3","M1","mGluR5","MOR","NET","NMDA","VAChT"
"83",173,0.047990362958134,0.558034578311401,0.116835856364962,0.0823628797234259,0.759627507321498,-0.041928174582602,-0.182233564242925,0.350834688741319,-0.438745896588009,0.088187241476468,-0.184218283273663,0.209835619092513,0.336290723303411,0.386551041581346,-0.0384354018377999,-0.015917013040022,-0.140830562955109,0.08148929330663,0.0524431155404468
"84",175,0.010356101726394,0.259404658681528,0.166789372322877,0.402100106532791,-0.209929420377208,0.160358790558873,-0.251573012946862,0.038196130277736,-0.602082073357054,-0.0675866806549789,-0.312394882851874,0.271185011509888,-0.112177260846495,-0.351371167597741,-0.536443203971889,-0.131191061830041,-0.324856016486002,-0.544033881313273,-0.137748418756879
"85",177,0.00945942480554096,0.042125067864135,-0.088083599224168,-0.0015959852309293,0.300186862267247,0.000429421258002993,0.240815856344915,0.451750946247388,-0.264560271217582,0.0364915885734544,-0.19003952890285,-0.119539644139568,-0.120471909783935,-0.203512090319771,-0.0485380166454561,-0.036084407537781,-0.23222104811378,0.182092537365315,0.049425888687972
"86",179,0.0461595675667301,0.102258929306346,0.316216283127013,-0.341337542225148,0.442683991762867,-0.066226126986642,0.351763878282391,0.868927746252153,-0.331365192054917,0.095374913836283,-0.130515483901741,0.367299604278154,0.019238188406561,0.183324599552373,0.398344797653202,-0.0231816699752,-0.009614739475709,0.637282937047799,0.016124685686507
"87",181,0.04570268150459,0.215781046338466,0.12289760667863,0.171537512577504,0.426024265326,0.050931743960146,0.428149711593536,0.607302643992459,-0.57072826096277,0.104363774325158,-0.314617449656771,0.03861743779467,-0.152372392897026,0.220054595879288,-0.32597466820178,-0.178743919138815,-0.223793707922195,-0.165529413950824,-0.058261162825046
"88",183,-0.13881310065432,-0.148045877666043,-0.409681423522,-0.00274931264055298,0.237412612774206,-0.07534833413836,0.0596888176207922,0.288888386132285,-0.647997675518826,0.007886362250104,-0.175780792863903,-0.100314205244367,-0.317631918401324,-0.225581576839948,-0.393699965676948,-0.181869425296818,-0.508179270285113,-0.22948307657795,-0.073300624636875
"89",185,0.052331404787049,0.053414687858825,-0.0524053495799529,-0.0978163898512888,0.284920548135943,0.064754196822374,0.196745632825714,0.417777154463972,-0.271661959287424,0.0468162772270927,-0.210738423531231,-0.442160476730412,-0.212268690095483,0.072097914496521,-0.019203386805645,-0.147000274461129,-0.256692997639106,0.166856911499707,0.0106430354892
"90",191,-0.043427292007141,0.07984179744091,0.11942724323514,0.172708824025835,0.228699700086034,0.012339617857123,0.264167224264147,0.314025130827345,-0.299545051630705,0.0540284548531215,-0.377913675196722,-0.962734652970693,-0.202253077963924,0.00359437213111496,-0.186958572373483,-0.103006936198232,-0.356059208612892,-0.00941406407895695,-0.079694989293149
"91",193,0.15617498302017,0.069498944781769,-0.21351252559701,-0.04658103194486,0.630557946143628,0.00585170244365099,0.538349474243526,0.817189419452786,0.0352642565401769,0.113692022780865,-0.050400598638588,0.388820251662183,-0.117528651634363,0.381258526507825,0.4600888136866,-0.084764831476065,-0.467729270193343,1.00052618477713,0.197099517360689
"92",195,-0.181762740364965,0.0326927111112005,-0.308629643442324,-0.622443713204279,0.243800371843047,-0.054942566504035,0.103179688706303,-0.135111231954162,-0.189120426448391,0.00949877911328961,-0.0679761436379786,0.656487576218571,-0.046030547739115,-0.059278843199941,-0.0465068567553359,-0.200733214441515,-0.258635380404225,0.400898886942174,0.064312560961496
"93",197,0.05289049032165,0.05056606928014,0.024381901177873,-0.147343670771639,0.0748672280998889,-0.019732714697014,-0.145523848146668,-0.071518083275804,0.145916941705708,0.0350748219726303,0.239241002623291,-0.0763390882941499,-0.210841133802414,-0.231229280934586,-0.0976266433205118,0.207498848421238,0.713726163808467,0.052084729342207,0.05789750885842
"94",199,-0.23963597626378,0.00495060552319004,-0.054847372251892,0.054815279153585,0.127411208550401,0.0023792206421154,-0.414199423448957,0.033697035114616,-0.361863350902648,-0.031436052966888,-0.389859963436298,0.0212383639548801,0.0410928860074323,-0.235368803695391,-0.167999758568696,-0.125103046637985,-0.118749941664941,-0.740300542919432,-0.129768674305522
